断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况,数据时间
兰山嘴,2021/6/19 16:00,Ⅳ,26.1,8.59,7.51,400,67.8,3.6,0.025,0.081,0.66,0.006,27404500,正常,2021_06_19_18h50m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_06_19_18h50m
落蓬湾,2021/6/19 16:00,Ⅳ,26.2,7.32,4.35,282.9,82.7,4.31,0.172,0.071,1.51,*,*,正常,2021_06_19_18h50m
兰山嘴(老),2021/6/19 16:00,Ⅳ,26.1,7.42,4.69,368.1,52.7,3.6,0.297,0.132,2.28,0.035,*,正常,2021_06_19_18h50m
西山,2021/6/19 16:00,Ⅲ,27.6,6.75,6.57,434.6,75.7,2.03,0.12,0.045,0.79,0.004,*,正常,2021_06_19_18h50m
汤溇,2021/6/19 16:00,Ⅳ,26.6,7.07,4.11,426,99.2,4.57,0.116,0.142,3.78,*,*,正常,2021_06_19_18h50m
小梅口,2021/6/19 16:00,Ⅳ,26.1,6.69,3.71,194,65.8,3.18,0.172,0.094,3.06,*,*,正常,2021_06_19_18h50m
沙渚,2021/6/19 16:00,Ⅲ,26.1,7.92,6.49,594.9,51.2,5.79,0.25,0.053,0.98,0.022,*,正常,2021_06_19_21h50m
陈东港,2021/6/19 16:00,Ⅲ,26,7.47,6.28,403.1,71.5,3.74,0.1,0.155,2.75,*,*,正常,2021_06_19_21h50m
锡东水厂,2021/6/19 20:00,Ⅳ,26,8.17,6.32,483.6,50.7,3.65,0.114,0.072,0.86,0.01,3400380,正常,2021_06_19_21h50m
兰山嘴,2021/6/19 20:00,Ⅳ,26.1,8.57,7.38,401.2,61.6,3.18,0.025,0.069,0.64,0.006,25832100,正常,2021_06_19_21h50m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_06_19_21h50m
落蓬湾,2021/6/19 20:00,Ⅳ,26.1,7.39,4.45,277.6,61.9,4.31,0.172,0.071,1.51,*,*,正常,2021_06_19_21h50m
兰山嘴(老),2021/6/19 16:00,Ⅳ,26.1,7.42,4.69,368.1,52.7,3.6,0.297,0.132,2.28,0.035,*,正常,2021_06_19_21h50m
西山,2021/6/19 16:00,Ⅲ,27.6,6.75,6.57,434.6,75.7,2.03,0.12,0.045,0.79,0.004,*,正常,2021_06_19_21h50m
汤溇,2021/6/19 16:00,Ⅳ,26.6,7.07,4.11,426,99.2,4.57,0.116,0.142,3.78,*,*,正常,2021_06_19_21h50m
小梅口,2021/6/19 16:00,Ⅳ,26.1,6.69,3.71,194,65.8,3.18,0.172,0.094,3.06,*,*,正常,2021_06_19_21h50m
沙渚,2021/6/19 20:00,Ⅲ,26,8.07,7.05,594,52.6,5.5,0.23,0.05,0.99,0.02,*,正常,2021_06_20_00h51m
陈东港,2021/6/19 20:00,Ⅲ,25.9,7.46,6.32,404.2,69.1,3.6,0.093,0.152,2.62,*,*,正常,2021_06_20_00h51m
锡东水厂,2021/6/20 0:00,Ⅳ,25.7,8.06,5.9,484.2,50,3.52,0.14,0.074,0.9,0.009,3170430,正常,2021_06_20_00h51m
兰山嘴,2021/6/20 0:00,Ⅳ,25.8,8.44,6.86,404.9,45.7,3.18,0.025,0.071,0.68,0.006,9781430,正常,2021_06_20_00h51m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_20_00h51m
落蓬湾,2021/6/20 0:00,Ⅳ,25.8,7.33,4.43,273.1,49.2,3.96,0.167,0.065,1.62,*,*,正常,2021_06_20_00h51m
兰山嘴(老),2021/6/19 20:00,Ⅲ,26.1,7.49,5.02,370.3,45.4,3.28,0.32,0.114,1.83,0.035,*,正常,2021_06_20_00h51m
西山,2021/6/19 20:00,Ⅲ,27.5,6.7,6.12,435.4,74.3,1.98,0.19,0.043,1,0.004,*,正常,2021_06_20_00h51m
汤溇,2021/6/19 20:00,Ⅳ,26.5,7.02,3.72,420.8,84.7,4.12,0.12,0.129,3.8,*,*,正常,2021_06_20_00h51m
小梅口,2021/6/19 20:00,Ⅳ,25.8,6.7,4.12,173.3,63.2,2.91,0.164,0.093,3.13,*,*,正常,2021_06_20_00h51m
沙渚,2021/6/19 20:00,Ⅲ,26,8.07,7.05,594,52.6,5.5,0.23,0.05,0.99,0.02,*,正常,2021_06_20_03h51m
陈东港,2021/6/19 20:00,Ⅲ,25.9,7.46,6.32,404.2,69.1,3.6,0.093,0.152,2.62,*,*,正常,2021_06_20_03h51m
锡东水厂,2021/6/20 0:00,Ⅳ,25.7,8.06,5.9,484.2,50,3.52,0.14,0.074,0.9,0.009,3170430,正常,2021_06_20_03h51m
兰山嘴,2021/6/20 0:00,Ⅳ,25.8,8.44,6.86,404.9,45.7,3.18,0.025,0.071,0.68,0.006,9781430,正常,2021_06_20_03h51m
拖山,2021/6/18 12:00,Ⅳ,27.7,8.42,7.79,476.1,31.4,3,0.025,0.058,0.44,0.006,12949980,正常,2021_06_20_03h51m
落蓬湾,2021/6/20 0:00,Ⅳ,25.8,7.33,4.43,273.1,49.2,3.96,0.167,0.065,1.62,*,*,正常,2021_06_20_03h51m
兰山嘴(老),2021/6/19 20:00,Ⅲ,26.1,7.49,5.02,370.3,45.4,3.28,0.32,0.114,1.83,0.035,*,正常,2021_06_20_03h51m
西山,2021/6/19 20:00,Ⅲ,27.5,6.7,6.12,435.4,74.3,1.98,0.19,0.043,1,0.004,*,正常,2021_06_20_03h51m
汤溇,2021/6/19 20:00,Ⅳ,26.5,7.02,3.72,420.8,84.7,4.12,0.12,0.129,3.8,*,*,正常,2021_06_20_03h51m
小梅口,2021/6/19 20:00,Ⅳ,25.8,6.7,4.12,173.3,63.2,2.91,0.164,0.093,3.13,*,*,正常,2021_06_20_03h51m
沙渚,2021/6/20 4:00,Ⅲ,25.7,7.86,6.19,582.7,34.2,5.71,0.23,0.052,1.2,0.018,*,正常,2021_06_20_09h52m
陈东港,2021/6/20 4:00,Ⅲ,25.6,7.44,5.94,408.4,68.1,3.63,0.101,0.15,2.69,*,*,正常,2021_06_20_09h52m
锡东水厂,2021/6/20 8:00,Ⅳ,25.4,8.03,5.82,486.5,49.1,3.69,0.13,0.074,0.87,0.008,3440530,正常,2021_06_20_09h52m
兰山嘴,2021/6/20 8:00,Ⅳ,25.8,8.38,6.54,404.2,30.8,3.04,0.025,0.065,0.7,0.006,6931520,正常,2021_06_20_09h52m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_06_20_09h52m
落蓬湾,2021/6/20 8:00,Ⅳ,25.8,7.3,4.11,277,54.3,4.12,0.161,0.065,1.62,*,*,正常,2021_06_20_09h52m
兰山嘴(老),2021/6/20 4:00,Ⅳ,25.7,7.47,4.51,374.1,38.6,3.25,0.352,0.125,1.62,0.051,*,正常,2021_06_20_09h52m
西山,2021/6/20 4:00,Ⅲ,27.1,6.71,5.88,431.8,57.6,1.92,0.21,0.03,0.87,0.004,*,正常,2021_06_20_09h52m
汤溇,2021/6/20 4:00,Ⅳ,26.1,6.98,3.16,404.9,79.9,4.16,0.11,0.129,3.78,*,*,正常,2021_06_20_09h52m
小梅口,2021/6/20 4:00,Ⅳ,25.2,6.66,4.25,174.4,73,3.24,0.194,0.1,3.55,*,*,正常,2021_06_20_09h52m
沙渚,2021/6/20 12:00,Ⅲ,26,7.91,6.28,597.1,43.8,4.95,0.24,0.054,0.99,0.015,*,正常,2021_06_20_14h33m
陈东港,2021/6/20 12:00,Ⅲ,25.7,7.43,5.88,418.2,75.2,3.88,0.103,0.152,2.71,*,*,正常,2021_06_20_14h33m
锡东水厂,2021/6/20 12:00,Ⅳ,25.7,8.13,6.22,486.7,47.8,2.78,0.126,0.068,0.84,0.01,2221930,正常,2021_06_20_14h33m
兰山嘴,2021/6/20 12:00,Ⅳ,26.4,8.73,7.83,399.5,27.3,2.9,0.025,0.068,0.67,0.006,2832140,正常,2021_06_20_14h33m
拖山,2021/6/20 12:00,Ⅳ,27,8.58,7.21,474,26,3.07,0.025,0.082,0.8,0.003,12281330,正常,2021_06_20_14h33m
落蓬湾,2021/6/20 12:00,Ⅳ,26.1,7.31,4.24,279.2,71.4,4.15,0.154,0.061,1.55,*,*,正常,2021_06_20_14h33m
兰山嘴(老),2021/6/20 12:00,Ⅳ,26,7.45,3.75,369.6,34.6,3.14,0.441,0.121,2.23,0.04,*,正常,2021_06_20_14h33m
西山,2021/6/20 12:00,Ⅲ,27.3,6.79,6.22,433.9,51,1.87,0.14,0.038,0.84,0.004,*,正常,2021_06_20_14h33m
汤溇,2021/6/20 8:00,Ⅳ,25.9,6.96,3.08,399.9,93,3.82,0.103,0.133,3.85,*,*,正常,2021_06_20_14h33m
小梅口,2021/6/20 8:00,Ⅳ,25.2,6.69,3.99,191.7,67.8,3.34,0.229,0.095,3.56,*,*,正常,2021_06_20_14h33m
沙渚,2021/6/20 12:00,Ⅲ,26,7.91,6.28,597.1,43.8,4.95,0.24,0.054,0.99,0.015,*,正常,2021_06_20_17h33m
陈东港,2021/6/20 12:00,Ⅲ,25.7,7.43,5.88,418.2,75.2,3.88,0.103,0.152,2.71,*,*,正常,2021_06_20_17h33m
锡东水厂,2021/6/20 16:00,Ⅳ,26.6,8.43,7.15,487.9,56.9,2.96,0.118,0.058,0.8,0.011,5835880,正常,2021_06_20_17h33m
兰山嘴,2021/6/20 16:00,Ⅳ,27.2,8.78,8.78,403.4,34.5,2.92,0.025,0.069,0.68,0.006,11082700,正常,2021_06_20_17h33m
拖山,2021/6/20 16:00,劣Ⅴ,28.4,9.14,11.82,467.2,37.5,3.02,0.025,0.079,0.47,0.005,20943000,正常,2021_06_20_17h33m
落蓬湾,2021/6/20 16:00,Ⅳ,26.4,7.34,4.43,279.9,63.5,4.09,0.137,0.067,1.39,*,*,正常,2021_06_20_17h33m
兰山嘴(老),2021/6/20 12:00,Ⅳ,26,7.45,3.75,369.6,34.6,3.14,0.441,0.121,2.23,0.04,*,正常,2021_06_20_17h33m
西山,2021/6/20 12:00,Ⅲ,27.3,6.79,6.22,433.9,51,1.87,0.14,0.038,0.84,0.004,*,正常,2021_06_20_17h33m
汤溇,2021/6/20 12:00,Ⅳ,26.1,6.96,3.08,400.7,86.6,4.4,0.112,0.132,3.9,*,*,正常,2021_06_20_17h33m
小梅口,2021/6/20 12:00,Ⅳ,25.2,6.67,4.3,177.3,69.4,3.16,0.212,0.092,3.62,*,*,正常,2021_06_20_17h33m
沙渚,2021/7/2 8:00,Ⅳ,27.9,8.14,6.54,600.2,90.7,6.64,0.25,0.076,0.76,0.023,*,正常,2021_07_02_14h16m
陈东港,2021/7/2 12:00,Ⅲ,28.4,7.56,7.08,466.8,75.1,3.96,0.058,0.16,2.55,*,*,正常,2021_07_02_14h16m
锡东水厂,2021/7/2 12:00,Ⅳ,29,8.59,6.25,494.5,49.1,4.08,0.026,0.057,0.75,0.013,3781460,正常,2021_07_02_14h16m
兰山嘴,2021/7/2 12:00,Ⅲ,28.6,8.46,8.56,403.7,46.3,2.64,0.03,0.026,0.36,0.003,20301400,正常,2021_07_02_14h16m
拖山,2021/7/2 8:00,Ⅴ,28.6,8.4,6.54,418.6,68.9,2.34,0.025,0.111,1.34,0.006,13333170,正常,2021_07_02_14h16m
落蓬湾,2021/7/2 12:00,Ⅱ,28.8,7.78,6.31,276.2,176.3,3.62,0.112,0.077,0.76,*,*,正常,2021_07_02_14h16m
兰山嘴(老),2021/7/2 8:00,Ⅲ,29.3,8.21,6.3,379.7,151.5,5.5,0.169,0.2,5.57,0.035,*,正常,2021_07_02_14h16m
西山,2021/7/2 8:00,Ⅲ,29.6,6.83,6.97,420.2,25.7,1.53,0.16,0.037,0.38,0.003,*,正常,2021_07_02_14h16m
汤溇,2021/7/2 8:00,Ⅱ,28.2,7.67,6.77,264.6,46.7,2.6,0.028,0.056,3.18,*,*,正常,2021_07_02_14h16m
小梅口,2021/7/2 8:00,劣Ⅴ,27.7,6.76,1.86,254.7,39.9,3.41,0.062,0.06,2.43,*,*,正常,2021_07_02_14h16m
沙渚,2021/7/2 12:00,Ⅳ,28.3,8.14,6.47,600.4,77,6.18,0.25,0.068,1.58,0.022,*,正常,2021_07_02_17h17m
陈东港,2021/7/2 12:00,Ⅲ,28.4,7.56,7.08,466.8,75.1,3.96,0.058,0.16,2.55,*,*,正常,2021_07_02_17h17m
锡东水厂,2021/7/2 16:00,Ⅳ,29.2,8.66,6.53,494.2,49.7,4.43,0.027,0.065,0.81,0.014,4119860,正常,2021_07_02_17h17m
兰山嘴,2021/7/2 16:00,Ⅲ,28.6,8.52,8.77,400.9,41.1,2.56,0.028,0.026,0.43,0.003,18633200,正常,2021_07_02_17h17m
拖山,2021/7/2 8:00,Ⅴ,28.6,8.4,6.54,418.6,68.9,2.34,0.025,0.111,1.34,0.006,13333170,正常,2021_07_02_17h17m
落蓬湾,2021/7/2 16:00,Ⅱ,28.8,7.54,6.43,273.9,181.8,3.26,0.104,0.077,0.49,*,*,正常,2021_07_02_17h17m
兰山嘴(老),2021/7/2 12:00,Ⅲ,29.5,8.17,6.3,383.8,109.3,4.82,0.139,0.149,4.23,0.032,*,正常,2021_07_02_17h17m
西山,2021/7/2 12:00,Ⅲ,29.7,6.84,7.14,419.5,27.3,1.53,0.2,0.036,0.55,0.004,*,正常,2021_07_02_17h17m
汤溇,2021/7/2 12:00,Ⅱ,28.4,8.04,7.44,261.5,46.6,3.04,0.025,0.056,3.19,*,*,正常,2021_07_02_17h17m
小梅口,2021/7/2 12:00,Ⅱ,26.6,6.84,8.27,264.7,19.8,3.53,0.052,0.056,2.41,*,*,正常,2021_07_02_17h17m
沙渚,2021/7/2 12:00,Ⅳ,28.3,8.14,6.47,600.4,77,6.18,0.25,0.068,1.58,0.022,*,正常,2021_07_02_20h17m
陈东港,2021/7/2 16:00,Ⅲ,28.6,7.55,6.78,463.1,68.6,3.93,0.06,0.162,2.42,*,*,正常,2021_07_02_20h17m
锡东水厂,2021/7/2 16:00,Ⅳ,29.2,8.66,6.53,494.2,49.7,4.28,0.031,0.062,0.8,0.014,4119860,正常,2021_07_02_20h17m
兰山嘴,2021/7/2 16:00,Ⅲ,28.6,8.52,8.77,400.9,41.1,2.56,0.028,0.026,0.43,0.003,18633200,正常,2021_07_02_20h17m
拖山,2021/7/2 8:00,Ⅴ,28.6,8.4,6.54,418.6,68.9,2.34,0.025,0.111,1.34,0.006,13333170,正常,2021_07_02_20h17m
落蓬湾,2021/7/2 16:00,Ⅱ,28.8,7.54,6.43,273.9,181.8,3.29,0.103,0.076,0.61,*,*,正常,2021_07_02_20h17m
兰山嘴(老),2021/7/2 16:00,Ⅳ,29.2,8.08,5.58,382.4,106.2,5.19,0.173,0.204,2.42,0.034,*,正常,2021_07_02_20h17m
西山,2021/7/2 16:00,Ⅲ,29.8,6.92,7.63,419,27.6,1.73,0.15,0.041,0.55,0.002,*,正常,2021_07_02_20h17m
汤溇,2021/7/2 16:00,Ⅱ,28.5,7.86,7.36,259.6,39.4,3.23,0.04,0.049,3.13,*,*,正常,2021_07_02_20h17m
小梅口,2021/7/2 16:00,Ⅳ,29,6.93,3.91,272.2,26.6,3.62,0.058,0.064,2.38,*,*,正常,2021_07_02_20h17m
沙渚,2021/7/2 20:00,Ⅳ,28.1,8.32,7.2,603.7,78.9,6.63,0.25,0.069,1.44,0.022,*,正常,2021_07_02_23h18m
陈东港,2021/7/2 20:00,Ⅲ,28.4,7.52,6.87,462.5,62.4,3.67,0.059,0.16,2.35,*,*,正常,2021_07_02_23h18m
锡东水厂,2021/7/2 20:00,Ⅳ,29,8.59,6.16,494.4,53.1,4.28,0.031,0.062,0.8,0.014,3884800,正常,2021_07_02_23h18m
兰山嘴,2021/7/2 20:00,Ⅲ,28.4,8.45,8.33,397.2,42.6,2.65,0.027,0.027,0.45,0.003,18819000,正常,2021_07_02_23h18m
拖山,2021/7/2 8:00,Ⅴ,28.6,8.4,6.54,418.6,68.9,2.34,0.025,0.111,1.34,0.006,13333170,正常,2021_07_02_23h18m
落蓬湾,2021/7/2 20:00,Ⅱ,28.5,7.51,6.28,273.8,145.2,3.3,0.098,0.07,0.96,*,*,正常,2021_07_02_23h18m
兰山嘴(老),2021/7/2 20:00,Ⅲ,29.1,8.02,6.17,382.6,91.9,5.02,0.164,0.155,4.25,0.036,*,正常,2021_07_02_23h18m
西山,2021/7/2 20:00,Ⅲ,29.6,6.82,7.16,419.2,29.7,1.68,0.13,0.036,0.79,0.004,*,正常,2021_07_02_23h18m
汤溇,2021/7/2 20:00,Ⅱ,28.3,7.65,6.99,261.8,40.8,2.96,0.038,0.047,3.15,*,*,正常,2021_07_02_23h18m
小梅口,2021/7/2 20:00,Ⅳ,28.9,6.92,3.85,266.8,18.2,3.46,0.043,0.059,2.22,*,*,正常,2021_07_02_23h18m
沙渚,2021/7/2 20:00,Ⅳ,28.1,8.32,7.2,603.7,78.9,6.63,0.25,0.069,1.44,0.022,*,正常,2021_07_03_02h18m
陈东港,2021/7/2 20:00,Ⅲ,28.4,7.52,6.87,462.5,62.4,3.67,0.059,0.16,2.35,*,*,正常,2021_07_03_02h18m
锡东水厂,2021/7/3 0:00,Ⅳ,28.8,8.52,6,498,50.2,4.24,0.034,0.066,0.84,0.012,2779630,正常,2021_07_03_02h18m
兰山嘴,2021/7/3 0:00,Ⅲ,28.3,8.41,7.96,399.6,45.6,2.65,0.027,0.03,0.76,0.003,22095800,正常,2021_07_03_02h18m
拖山,2021/7/2 8:00,Ⅴ,28.6,8.4,6.54,418.6,68.9,2.34,0.025,0.111,1.34,0.006,13333170,正常,2021_07_03_02h18m
落蓬湾,2021/7/3 0:00,Ⅱ,28.1,8,6.41,273.4,145.9,3.3,0.098,0.07,0.96,*,*,正常,2021_07_03_02h18m
兰山嘴(老),2021/7/2 20:00,Ⅲ,29.1,8.02,6.17,382.6,91.9,5.02,0.164,0.155,4.25,0.036,*,正常,2021_07_03_02h18m
西山,2021/7/2 20:00,Ⅲ,29.6,6.82,7.16,419.2,29.7,1.68,0.13,0.036,0.79,0.004,*,正常,2021_07_03_02h18m
汤溇,2021/7/2 20:00,Ⅱ,28.3,7.65,6.99,261.8,40.8,2.96,0.038,0.047,3.15,*,*,正常,2021_07_03_02h18m
小梅口,2021/7/2 20:00,Ⅳ,28.9,6.92,3.85,266.8,18.2,3.46,0.043,0.059,2.22,*,*,正常,2021_07_03_02h18m
沙渚,2021/7/3 0:00,Ⅳ,28.1,8.2,6.6,604.4,80.1,6.2,0.25,0.073,1.97,0.022,*,正常,2021_07_03_05h18m
陈东港,2021/7/3 0:00,Ⅲ,28.3,7.46,6.42,455.8,61.8,3.77,0.057,0.152,2.31,*,*,正常,2021_07_03_05h18m
锡东水厂,2021/7/3 4:00,Ⅳ,28.5,8.46,5.79,496.4,51.3,4.24,0.034,0.066,0.84,0.012,2917020,正常,2021_07_03_05h18m
兰山嘴,2021/7/3 4:00,Ⅲ,28.1,8.2,7.34,398.6,50.3,2.65,0.033,0.038,0.82,0.003,22430300,正常,2021_07_03_05h18m
拖山,2021/7/2 8:00,Ⅴ,28.6,8.4,6.54,418.6,68.9,2.34,0.025,0.111,1.34,0.006,13333170,正常,2021_07_03_05h18m
落蓬湾,2021/7/3 4:00,Ⅱ,28.2,7.53,6.25,271.2,130.9,3.3,0.098,0.07,0.96,*,*,正常,2021_07_03_05h18m
兰山嘴(老),2021/7/3 0:00,Ⅲ,29.1,7.91,5.66,381.6,96,5,0.189,0.153,3.97,0.035,*,正常,2021_07_03_05h18m
西山,2021/7/3 0:00,Ⅲ,29.6,6.88,7,419.1,34.3,1.71,0.15,0.029,0.79,0.004,*,正常,2021_07_03_05h18m
汤溇,2021/7/3 0:00,Ⅱ,28.1,7.43,6.89,267.9,44.8,2.99,0.025,0.057,3.14,*,*,正常,2021_07_03_05h18m
小梅口,2021/7/3 0:00,Ⅳ,28.3,6.96,4.11,237.6,23.7,3.57,0.104,0.073,2.62,*,*,正常,2021_07_03_05h18m
沙渚,2021/7/3 4:00,Ⅳ,27.9,8.23,6.36,609,80.3,6.3,0.27,0.074,1.66,0.021,*,正常,2021_07_03_08h19m
陈东港,2021/7/3 4:00,Ⅲ,28.2,7.43,6.29,448.5,58.5,3.6,0.058,0.152,2.18,*,*,正常,2021_07_03_08h19m
锡东水厂,2021/7/3 4:00,Ⅳ,28.5,8.46,5.79,496.4,51.3,3.98,0.038,0.063,0.77,0.012,2917020,正常,2021_07_03_08h19m
兰山嘴,2021/7/3 4:00,Ⅲ,28.1,8.2,7.34,398.6,50.3,2.92,0.033,0.038,0.82,0.003,22430300,正常,2021_07_03_08h19m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_07_03_08h19m
落蓬湾,2021/7/3 4:00,Ⅱ,28.2,7.53,6.25,271.2,130.9,3.07,0.09,0.065,1.09,*,*,正常,2021_07_03_08h19m
兰山嘴(老),2021/7/3 4:00,Ⅳ,28.8,7.65,4.83,379.3,110,5.28,0.199,0.156,4.09,0.036,*,正常,2021_07_03_08h19m
西山,2021/7/3 4:00,Ⅲ,29.3,6.72,6.43,420.2,29.8,1.73,0.16,0.036,0.59,0.005,*,正常,2021_07_03_08h19m
汤溇,2021/7/3 4:00,Ⅲ,28,7.09,5.4,207.4,53.5,3.1,0.066,0.073,3.16,*,*,正常,2021_07_03_08h19m
小梅口,2021/7/3 4:00,Ⅳ,27.9,6.88,3.77,214.1,61,2.9,0.093,0.08,3.23,*,*,正常,2021_07_03_08h19m
沙渚,2021/7/3 8:00,Ⅳ,27.4,8.3,6.59,613.6,124,6.34,0.24,0.075,1.77,0.024,*,正常,2021_07_03_11h19m
陈东港,2021/7/3 8:00,Ⅲ,28,7.44,6.15,458.4,55.9,3.52,0.059,0.142,2.29,*,*,正常,2021_07_03_11h19m
锡东水厂,2021/7/3 8:00,Ⅳ,28.4,8.43,5.74,495.7,63.5,4.39,0.047,0.076,1.06,0.012,3688950,正常,2021_07_03_11h19m
兰山嘴,2021/7/3 8:00,Ⅲ,28,8.15,7.23,394.7,60.6,2.92,0.031,0.034,0.9,0.003,18675000,正常,2021_07_03_11h19m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_07_03_11h19m
落蓬湾,2021/7/3 8:00,Ⅱ,28.2,7.54,6.32,271.9,199.2,3.46,0.105,0.073,0.57,*,*,正常,2021_07_03_11h19m
兰山嘴(老),2021/7/3 8:00,Ⅳ,28.7,7.68,4.77,381.4,124.3,5.29,0.199,0.177,4.75,0.034,*,正常,2021_07_03_11h19m
西山,2021/7/3 8:00,Ⅲ,29.1,6.66,6.53,418.7,28.7,1.66,0.14,0.036,0.56,0.004,*,正常,2021_07_03_11h19m
汤溇,2021/7/3 8:00,Ⅲ,27.8,7.06,5.19,296.9,72.2,3.15,0.074,0.078,3.25,*,*,正常,2021_07_03_11h19m
小梅口,2021/7/3 8:00,Ⅳ,27.8,6.94,4.63,213.7,66,2.85,0.068,0.087,3.41,*,*,正常,2021_07_03_11h19m
沙渚,2021/7/3 8:00,Ⅳ,27.4,8.3,6.59,613.6,124,6.34,0.24,0.075,1.77,0.024,*,正常,2021_07_03_14h19m
陈东港,2021/7/3 12:00,Ⅲ,28.2,7.43,6.26,452.1,63.1,3.61,0.064,0.15,2.35,*,*,正常,2021_07_03_14h19m
锡东水厂,2021/7/3 12:00,Ⅳ,28.9,8.28,5.92,501.8,76.4,4.39,0.047,0.076,1.06,0.01,3516520,正常,2021_07_03_14h19m
兰山嘴,2021/7/3 12:00,Ⅲ,28.3,8.27,8.07,389,55.7,2.95,0.03,0.034,0.92,0.004,21432900,正常,2021_07_03_14h19m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_07_03_14h19m
落蓬湾,2021/7/3 12:00,Ⅱ,27.9,8,6.61,271.2,222.8,3.46,0.105,0.073,0.57,*,*,正常,2021_07_03_14h19m
兰山嘴(老),2021/7/3 8:00,Ⅳ,28.7,7.68,4.77,381.4,124.3,5.29,0.199,0.177,4.75,0.034,*,正常,2021_07_03_14h19m
西山,2021/7/3 8:00,Ⅲ,29.1,6.66,6.53,418.7,28.7,1.66,0.14,0.036,0.56,0.004,*,正常,2021_07_03_14h19m
汤溇,2021/7/3 8:00,Ⅲ,27.8,7.06,5.19,296.9,72.2,3.15,0.074,0.078,3.25,*,*,正常,2021_07_03_14h19m
小梅口,2021/7/3 8:00,Ⅳ,27.8,6.94,4.63,213.7,66,2.85,0.068,0.087,3.41,*,*,正常,2021_07_03_14h19m
沙渚,2021/7/3 12:00,Ⅳ,28.4,8.28,6.48,613.2,207.5,6.7,0.25,0.083,1.79,0.021,*,正常,2021_07_03_17h20m
陈东港,2021/7/3 12:00,Ⅲ,28.2,7.43,6.26,452.1,63.1,3.61,0.064,0.15,2.35,*,*,正常,2021_07_03_17h20m
锡东水厂,2021/7/3 16:00,Ⅳ,28.7,8.26,5.92,498,77.7,4.54,0.073,0.082,1.66,0.011,3622920,正常,2021_07_03_17h20m
兰山嘴,2021/7/3 16:00,Ⅲ,28.2,8.25,7.96,388.6,56.3,3.17,0.026,0.038,0.96,0.004,17774700,正常,2021_07_03_17h20m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_07_03_17h20m
落蓬湾,2021/7/3 16:00,Ⅱ,28,7.56,6.57,272.3,198.2,3.5,0.124,0.079,0.16,*,*,正常,2021_07_03_17h20m
兰山嘴(老),2021/7/3 12:00,Ⅳ,29.4,7.53,4,388.3,126.6,5.72,0.262,0.186,4.93,0.037,*,正常,2021_07_03_17h20m
西山,2021/7/3 12:00,Ⅲ,29.5,6.82,7.44,417.7,27.1,1.4,0.16,0.043,0.53,0.005,*,正常,2021_07_03_17h20m
汤溇,2021/7/3 12:00,Ⅲ,28.2,7.12,5.86,300.7,73.1,3.4,0.078,0.089,3.3,*,*,正常,2021_07_03_17h20m
小梅口,2021/7/3 12:00,Ⅳ,28.1,6.91,4.16,217.1,55.3,3.13,0.111,0.082,3.14,*,*,正常,2021_07_03_17h20m
沙渚,2021/7/3 16:00,Ⅳ,28.2,8.2,6.43,614.7,160.3,6.51,0.25,0.085,1.68,0.022,*,正常,2021_07_03_20h20m
陈东港,2021/7/3 16:00,Ⅲ,28.2,7.43,6.67,446.7,72.7,3.78,0.06,0.151,2.45,*,*,正常,2021_07_03_20h20m
锡东水厂,2021/7/3 16:00,Ⅳ,28.7,8.26,5.92,498,77.7,4.59,0.087,0.087,1.8,0.011,3622920,正常,2021_07_03_20h20m
兰山嘴,2021/7/3 16:00,Ⅲ,28.2,8.25,7.96,388.6,56.3,3.17,0.026,0.038,0.96,0.004,17774700,正常,2021_07_03_20h20m
拖山,??,,--,--,--,--,--,--,--,--,--,--,--,维护,2021_07_03_20h20m
落蓬湾,2021/7/3 16:00,Ⅱ,28,7.56,6.57,272.3,198.2,3.53,0.125,0.078,0.36,*,*,正常,2021_07_03_20h20m
兰山嘴(老),2021/7/3 16:00,Ⅳ,29,7.52,4.41,386.5,74.5,5.22,0.285,0.147,3.58,0.035,*,正常,2021_07_03_20h20m
西山,2021/7/3 16:00,Ⅲ,29.5,6.78,7.17,414.7,97,1.77,0.15,0.036,0.81,0.005,*,正常,2021_07_03_20h20m
汤溇,2021/7/3 16:00,Ⅱ,28.5,8.07,8.05,269.3,124.4,3.84,0.025,0.095,3.53,*,*,正常,2021_07_03_20h20m
小梅口,2021/7/3 16:00,Ⅳ,28,6.93,4.74,187.3,51.7,2.72,0.102,0.087,3.26,*,*,正常,2021_07_03_20h20m
